theme_title,name,is_active,title_color,question_color,answer_color,primary_accent,primary_background,secondary_accent,secondary_background
"Heritage", "Default", TRUE, "#FF5733", "#000000", "#4CAF50", "#FF6F61", "#1E1E1E", "#FFC300", "#101010"
"Simple", "Default", TRUE, "#33C1FF", "#111111", "#FFC107", "#FF4081", "#F0F0F0", "#8E44AD", "#EFEFEF"
"Full Color", "Default", TRUE, "#9B59B6", "#222222", "#8BC34A", "#D500F9", "#2C3E50", "#E91E63", "#34495E"
"Highrise", "Default", TRUE, "#2ECC71", "#333333", "#FF5722", "#00C853", "#ECF0F1", "#1E88E5", "#BDC3C7"
"Dewdrop", "Default", TRUE, "#E67E22", "#444444", "#2196F3", "#FF7043", "#F5F5F5", "#D32F2F", "#AAB7B8"
"Pastel", "Default", TRUE, "#3498DB", "#555555", "#9C27B0", "#42A5F5", "#F7F9F9", "#F57C00", "#D5D8DC"
"Walnut", "Default", TRUE, "#1ABC9C", "#666666", "#673AB7", "#00BFA5", "#273746", "#00796B", "#2C3E50"
"Stone", "Default", TRUE, "#F1C40F", "#777777", "#FFEB3B", "#FFD600", "#F2F4F4", "#F4511E", "#CACFD2"
"Porch Lights", "Default", TRUE, "#E74C3C", "#888888", "#795548", "#F44336", "#D0D3D4", "#FF1744", "#B3B6B7"
"Scribble", "Default", TRUE, "#E53935", "#1E88E5", "#43A047", "#FDD835", "#FAFAFA", "#5E35B1", "#F5F5F5"
"Arctic", "Default", TRUE, "#0277BD", "#37474F", "#546E7A", "#81D4FA", "#ECEFF1", "#4FC3F7", "#CFD8DC"
